experiment,seed,task,model,epochs,final_closed_test_loss,final_open_test_loss,peak_open_test_loss,peak_closed_test_loss,trajectory_gain_distance,open_loop_test_loss_spike,closed_loop_plateau,plateau_length,stage1_end,plateau_end,stability_crossing,stability_to_plateau_gap,final_closed_coupled_radius,closed_recovered,claim_C1_divergence,claim_C2_stages,claim_C3_stability_transition,requested_device,resolved_device,runtime_seconds,variant
generalization_gru,2,double_integrator,gru,1000,0.0674377535918029,2.6956442626891657,35351.93321065664,2932.897398147583,0.7068208796702558,True,True,630,70,700,,,,True,True,True,False,cuda,cuda,117.17349791526794,gru
generalization_gru,3,double_integrator,gru,1000,0.06777205336780753,2.7133612580876796,271789.4127826977,265298.07836072444,0.6990730686989487,False,True,626,74,700,,,,True,True,True,False,cuda,cuda,117.19077754020691,gru
generalization_gru,4,double_integrator,gru,1000,0.06724589316057973,3.488201401932165,10474.894272618294,1035.6259089016914,0.7371344744472087,True,True,630,70,700,,,,True,True,True,False,cuda,cuda,116.336754322052,gru
generalization_gru,5,double_integrator,gru,1000,0.06757652291751583,537.6058308267011,56418.3742183876,661.8265096521377,1.3702290985773775,True,True,626,74,700,,,,True,True,True,False,cuda,cuda,116.97031426429749,gru
generalization_gru,6,double_integrator,gru,1000,0.06765032634451927,3.0680090911174194,90405.49874864578,7653.45774661541,0.8423844542220137,True,True,616,84,700,,,,True,True,True,False,cuda,cuda,116.46789503097534,gru
generalization_gru,7,double_integrator,gru,1000,0.06734823348814416,2.9117200939892793,137068.11569118977,9419.924630453586,0.8010582832240843,True,True,625,75,700,,,,True,True,True,False,cuda,cuda,117.71079802513123,gru
generalization_gru,8,double_integrator,gru,1000,0.067892433286911,0.10215701390989125,146326.01722025394,324.67585797309874,0.2379795276239856,True,True,633,67,700,,,,True,True,True,False,cuda,cuda,117.3697862625122,gru
generalization_gru,9,double_integrator,gru,1000,0.06751426284608897,2.3842470630910246,112355.84512793065,14822.804003956318,0.6813522980569073,True,True,622,78,700,,,,True,True,True,False,cuda,cuda,116.49543118476868,gru
generalization_low_rank,0,double_integrator,low_rank_rnn,1000,0.09033079988722578,59.821531093120576,129.95406163692473,21.419513001441956,0.7096655377479084,True,False,0,96,96,96.0,0.0,0.6298384566105402,True,True,False,True,cuda,cuda,147.61222863197327,low_rank
generalization_low_rank,1,double_integrator,low_rank_rnn,1000,0.09187944216041853,3.5324828851222994,946993834215601.2,946993834215601.2,0.6227702191056179,False,False,0,75,75,75.0,0.0,0.6586884234161602,True,True,False,True,cuda,cuda,147.50186848640442,low_rank
generalization_low_rank,2,double_integrator,low_rank_rnn,1000,0.08953892752632259,11.681174185276031,1034369275851.6779,1034369275851.6779,0.676269641457381,False,False,0,86,86,86.0,0.0,0.684823833548506,True,True,False,True,cuda,cuda,147.5823793411255,low_rank
generalization_low_rank,3,double_integrator,low_rank_rnn,1000,0.09206977096518139,440.3985628080368,440.5801221323013,51.692529106140135,0.7123989028567215,False,True,89,11,100,107.0,-7.0,0.6799694347180029,True,True,True,True,cuda,cuda,147.78165888786316,low_rank
generalization_low_rank,4,double_integrator,low_rank_rnn,1000,0.09131641689273647,411.7404221749306,3627.6993719792367,3627.6993719792367,0.7248386454070737,False,True,41,18,59,79.0,-20.0,0.6203756503358647,True,True,True,True,cuda,cuda,147.70129680633545,low_rank
generalization_low_rank,5,double_integrator,low_rank_rnn,1000,0.09137154367377442,225.07197976350784,432841.0067846823,432841.0067846823,0.7223818340864006,False,False,0,119,119,119.0,0.0,0.6424871204656978,True,True,False,True,cuda,cuda,147.30507516860962,low_rank
generalization_low_rank,6,double_integrator,low_rank_rnn,1000,0.09160898601974321,366.0344457864761,651.1792974948883,157.81876562356948,0.7217236228297599,False,False,0,71,71,71.0,0.0,0.6618917124828716,True,True,False,True,cuda,cuda,146.81868386268616,low_rank
generalization_low_rank,7,double_integrator,low_rank_rnn,1000,0.09243340173334456,335.48527633428574,1620317.861975131,1620317.861975131,0.7178363784643812,False,False,0,102,102,102.0,0.0,0.6474399145734538,True,True,False,True,cuda,cuda,145.1075758934021,low_rank
generalization_low_rank,8,double_integrator,low_rank_rnn,1000,0.0938681060786402,385.18093116045,396.8041326737404,48.90025742053986,0.6977300011761475,False,True,31,15,46,74.0,-28.0,0.7064860137887476,True,True,True,True,cuda,cuda,146.92360186576843,low_rank
generalization_low_rank,9,double_integrator,low_rank_rnn,1000,0.0912615501296766,44.44144240140915,107.95361303091049,13.735856449604034,0.6889817575819709,True,False,0,86,86,86.0,0.0,0.6344866362502187,True,True,False,True,cuda,cuda,147.65364122390747,low_rank
