experiment,seed,task,model,epochs,final_closed_test_loss,final_open_test_loss,peak_open_test_loss,peak_closed_test_loss,trajectory_gain_distance,open_loop_test_loss_spike,closed_loop_plateau,plateau_length,stage1_end,plateau_end,stability_crossing,stability_to_plateau_gap,final_closed_coupled_radius,closed_recovered,claim_C1_divergence,claim_C2_stages,claim_C3_stability_transition,requested_device,resolved_device,runtime_seconds,perturbation
robustness_init_weak,6,double_integrator,tanh_rnn,1000,0.09296996680751768,0.2797800990433664,29.867549736499786,29.867549736499786,0.4995402749096683,False,False,0,52,52,52.0,0.0,0.6914056657168549,True,True,False,True,cuda,cuda,137.5934944152832,init_weak
robustness_init_weak,7,double_integrator,tanh_rnn,1000,0.0933971475137019,0.3219840998730087,393.1710808944702,393.1710808944702,0.5286028330104242,False,False,0,59,59,59.0,0.0,0.6960546052595107,True,True,False,True,cuda,cuda,137.69202589988708,init_weak
robustness_init_weak,8,double_integrator,tanh_rnn,1000,0.09269051639540357,0.2897386395357898,27.753890545368193,27.753890545368193,0.48738669881567753,False,False,0,48,48,48.0,0.0,0.6896179809872051,True,True,False,True,cuda,cuda,136.6499960422516,init_weak
robustness_init_weak,9,double_integrator,tanh_rnn,1000,0.09251996757696482,0.2960041320545133,13.53310604095459,13.53310604095459,0.49238682145968793,False,False,0,48,48,48.0,0.0,0.6882403982886456,True,True,False,True,cuda,cuda,136.65368032455444,init_weak
robustness_init_weak,10,double_integrator,tanh_rnn,1000,0.09264950960129566,0.3004932419254328,416.1009058856964,416.1009058856964,0.49562386453183327,False,False,0,57,57,57.0,0.0,0.6879480414856713,True,True,False,True,cuda,cuda,137.80637216567993,init_weak
robustness_init_weak,11,double_integrator,tanh_rnn,1000,0.09267468454541178,0.29740210171565196,16.60762131690979,17.845029017925263,0.5041554640401479,False,False,0,53,53,53.0,0.0,0.6890179642481382,True,True,False,True,cuda,cuda,137.95205664634705,init_weak
robustness_init_weak,12,double_integrator,tanh_rnn,1000,0.09328154276973918,0.3117316772138964,161619.0534957838,161619.0534957838,0.5135491754260544,False,False,0,66,66,66.0,0.0,0.6907243420712518,True,True,False,True,cuda,cuda,136.15646481513977,init_weak
robustness_init_weak,13,double_integrator,tanh_rnn,1000,0.09280996203092737,0.30581629215117573,10671.076263804436,10671.076263804436,0.5012633220492579,False,False,0,60,60,60.0,0.0,0.6871534409419267,True,True,False,True,cuda,cuda,137.2122504711151,init_weak
robustness_init_weak,14,double_integrator,tanh_rnn,1000,0.09322900271595792,0.28346751690052374,27.019557573795318,27.019557573795318,0.5086056224588026,False,False,0,52,52,52.0,0.0,0.6990897488051007,True,True,False,True,cuda,cuda,138.20388507843018,init_weak
robustness_init_strong,0,double_integrator,tanh_rnn,1000,0.09636580168167987,0.4012640127167106,43.1393877696991,359.0697495174408,0.4822954266620619,False,False,0,46,46,46.0,0.0,0.7582899749961526,True,True,False,True,cuda,cuda,136.70799255371094,init_strong
robustness_init_strong,1,double_integrator,tanh_rnn,1000,0.09606835452127419,0.39266119338572025,498070.50981011393,498070.50981011393,0.5046049685391993,False,False,0,64,64,64.0,0.0,0.749390223080543,True,True,False,True,cuda,cuda,136.20269227027893,init_strong
robustness_init_strong,2,double_integrator,tanh_rnn,1000,0.09564134392981777,0.42425259433686735,145044.0162535858,145044.0162535858,0.5023422486875722,False,False,0,62,62,62.0,0.0,0.7437432693647139,True,True,False,True,cuda,cuda,136.06831192970276,init_strong
robustness_init_strong,3,double_integrator,tanh_rnn,1000,0.09539929044254433,0.3310087710339576,14.89614648103714,14.89614648103714,0.4684138328724069,False,False,0,36,36,36.0,0.0,0.7491318484820692,True,True,False,True,cuda,cuda,137.0510470867157,init_strong
robustness_init_strong,4,double_integrator,tanh_rnn,1000,0.0953052142402981,0.4234124009311199,146.36403798818588,146.36403798818588,0.4542875271719596,False,False,0,39,39,39.0,0.0,0.7474747287149475,True,True,False,True,cuda,cuda,135.72409391403198,init_strong
robustness_init_strong,5,double_integrator,tanh_rnn,1000,0.09445289629148218,0.618199868798256,146.56460864305495,146.56460864305495,0.5049591115109424,False,False,0,41,41,41.0,0.0,0.7351887117885882,True,True,False,True,cuda,cuda,135.9483780860901,init_strong
robustness_init_strong,6,double_integrator,tanh_rnn,1000,0.09545583502976333,0.34156767738051713,40.263218665122984,40.263218665122984,0.4765261143777437,False,False,0,40,40,40.0,0.0,0.7422023701373974,True,True,False,True,cuda,cuda,136.93760204315186,init_strong
robustness_init_strong,7,double_integrator,tanh_rnn,1000,0.09644310062444822,0.5353946547210217,580.0809699106217,580.0809699106217,0.5029393356006047,False,False,0,44,44,44.0,0.0,0.7471063133112449,True,True,False,True,cuda,cuda,135.91703867912292,init_strong
robustness_init_strong,8,double_integrator,tanh_rnn,1000,0.09563363589083737,0.43767838791012764,24.169517097473143,24.169517097473143,0.4651448999863945,False,False,0,34,34,34.0,0.0,0.7487463708892128,True,True,False,True,cuda,cuda,137.89598941802979,init_strong
robustness_init_strong,9,double_integrator,tanh_rnn,1000,0.09495165730575587,0.44170804284513,12.17533063173294,12.17533063173294,0.4733342495304172,False,False,0,35,35,35.0,0.0,0.7413884259110048,True,True,False,True,cuda,cuda,136.7114052772522,init_strong
robustness_init_strong,10,double_integrator,tanh_rnn,1000,0.09494802383160085,0.42533454559743405,263.70805552005766,263.70805552005766,0.4768023097728245,False,False,0,37,37,37.0,0.0,0.7425738584356338,True,True,False,True,cuda,cuda,136.32093977928162,init_strong
robustness_init_strong,11,double_integrator,tanh_rnn,1000,0.09554115518247654,0.45652870669960977,45.70574678897858,45.70574678897858,0.49262256357447975,False,False,0,43,43,43.0,0.0,0.7438882508443703,True,True,False,True,cuda,cuda,137.10825490951538,init_strong
robustness_init_strong,12,double_integrator,tanh_rnn,1000,0.09648223542697497,0.7078010571002961,215741.96321563245,215741.96321563245,0.4938648714922914,False,False,0,44,44,44.0,0.0,0.752672702760001,True,True,False,True,cuda,cuda,138.18808150291443,init_strong
robustness_init_strong,13,double_integrator,tanh_rnn,1000,0.09558978601202157,0.651205575466156,7067.127945251465,7067.127945251465,0.4938891498498679,False,False,0,45,45,45.0,0.0,0.7445700454580405,True,True,False,True,cuda,cuda,135.58908581733704,init_strong
robustness_init_strong,14,double_integrator,tanh_rnn,1000,0.09595760931669087,0.4859341223537922,16.86093504190445,16.86093504190445,0.49225323701883705,False,False,0,36,36,36.0,0.0,0.7580350743737967,True,True,False,True,cuda,cuda,136.57571744918823,init_strong
robustness_feedback_low,0,double_integrator,tanh_rnn,1000,0.105005589288963,0.2683707685559057,247.3386841416359,247.3386841416359,0.7362359753850919,False,False,0,82,82,82.0,0.0,0.7697195663593475,True,True,False,True,cuda,cuda,137.644672870636,feedback_low
