valid,boundary1,boundary2,one_segment_sse,two_segment_sse,three_segment_sse,best_two_segment_boundary,three_vs_one_sse_reduction,three_vs_two_sse_reduction,stage1_slope,stage2_slope,stage3_slope,stage1_fast,stage2_slow,stage3_reaccelerates,claim_C2_changepoint_three_stage,experiment,seed,kind,setting
True,44,218,272.7047483325987,10.727478722206058,7.692151624888467,48,0.9717931144509926,0.2829487874941587,-0.13693729341957417,-0.0030240270747374106,-0.00037667523449557414,True,True,False,False,original_double_integrator_full,35,original,original
True,40,80,1447.185180584609,90.03572722549472,47.924954810983465,50,0.9668840204737146,0.46771180410466073,-0.3428103421428814,-0.075810801640317,-0.0005949079796572022,True,True,False,False,original_double_integrator_full,36,original,original
True,40,80,702.1081530119095,64.29506588531768,55.113875752133055,40,0.9215022991604569,0.14279774049164215,-0.2699867529887079,-0.033068360176409815,-0.0005317363713494848,True,True,False,False,original_double_integrator_full,37,original,original
True,48,250,212.1347631704425,6.063963128691061,3.2175047278169195,52,0.9848327323644179,0.4694056247483425,-0.10590351448206925,-0.002562717647937129,-0.0003807148091995209,True,True,False,False,original_double_integrator_full,38,original,original
True,40,288,93.05217237372926,4.074691518890553,1.9502581934804155,40,0.9790412395140277,0.5213727997717416,-0.10092403617573192,-0.0017482550817695965,-0.00031658181184514577,True,True,False,False,original_double_integrator_full,39,original,original
True,40,266,128.46775075523465,5.596799932569333,2.7247877789113986,42,0.9787901028632248,0.5131525493603761,-0.11226816009032597,-0.0021887751601452296,-0.0003531682515345554,True,True,False,False,original_double_integrator_full,40,original,original
True,40,288,93.7184772689468,3.9399119638717153,1.6743986527143946,40,0.9821337403091889,0.5750162267410213,-0.0995909769585286,-0.0017976436378559998,-0.0003184340937848606,True,True,False,False,original_double_integrator_full,41,original,original
True,42,248,158.06323556290204,4.0322733211169,1.3492171445256176,46,0.9914640672783855,0.6653954141799352,-0.1088993164188399,-0.0024560253307941474,-0.0003687335957566158,True,True,False,False,original_double_integrator_full,42,original,original
True,40,278,117.67394700264049,4.6980698562068,2.233426161491181,40,0.9810202154480204,0.5246077155407733,-0.1085939553462982,-0.0019425911608712489,-0.0003359433455034918,True,True,False,False,original_double_integrator_full,43,original,original
True,40,290,88.66605946528466,4.09742590900985,1.7134990314616587,40,0.9806746906110952,0.5818108564955775,-0.09586745331865312,-0.0018307556602880253,-0.00032806092232411,True,True,False,False,original_double_integrator_full,44,original,original
True,46,270,158.84590033997392,4.054835385635101,1.399719959458512,50,0.9911881895820873,0.6548022727587802,-0.09843021220653926,-0.0022142541010755977,-0.0003638589371514318,True,True,False,False,original_double_integrator_full,45,original,original
True,40,254,239.31950769054288,45.44286786753887,42.62489886061994,40,0.8218912479306244,0.0620112492709089,-0.15681184144129032,-0.002270617844699585,-0.0003515293329949525,True,True,False,False,original_double_integrator_full,46,original,original
True,40,80,391.5214811326307,43.14906223838288,36.124042281285696,52,0.9077342010027581,0.16280817224454391,-0.16286121388115193,-0.03658297894584711,-0.000578671620171237,True,True,False,False,original_double_integrator_full,47,original,original
True,40,286,187.89634659407466,17.18415638084425,14.79923062177965,40,0.9212372625118068,0.13878631608143163,-0.1575584702380355,-0.0018640866442487458,-0.00033639876974900863,True,True,False,False,original_double_integrator_full,48,original,original
True,40,80,402.38867274667655,35.38074642740027,28.93636526369643,44,0.9280885193259074,0.18214373110887935,-0.1849884028861446,-0.02932058299974169,-0.0005326433641575818,True,True,False,False,original_double_integrator_full,49,original,original
