experiment,kind,setting,seed,stage1_end,plateau_end,plateau_length,plateau_detected,plateau_exit_detected,plateau_exit_reason,stability_crossing,stability_to_plateau_gap
robustness_adam,robustness,adam,11,55,700,645,True,False,fallback,55.0,645.0
robustness_adam,robustness,adam,12,53,700,647,True,False,fallback,53.0,647.0
robustness_adam,robustness,adam,13,42,700,658,True,False,fallback,42.0,658.0
robustness_adam,robustness,adam,14,47,700,653,True,False,fallback,47.0,653.0
robustness_episode_long,robustness,episode_long,0,57,700,643,True,False,fallback,57.0,643.0
robustness_episode_long,robustness,episode_long,1,75,700,625,True,False,fallback,75.0,625.0
robustness_episode_long,robustness,episode_long,2,73,700,627,True,False,fallback,73.0,627.0
robustness_episode_long,robustness,episode_long,3,48,700,652,True,False,fallback,48.0,652.0
robustness_episode_long,robustness,episode_long,4,49,700,651,True,False,fallback,49.0,651.0
robustness_episode_long,robustness,episode_long,5,56,700,644,True,False,fallback,56.0,644.0
robustness_episode_long,robustness,episode_long,6,50,700,650,True,False,fallback,50.0,650.0
robustness_episode_long,robustness,episode_long,7,54,700,646,True,False,fallback,54.0,646.0
robustness_episode_long,robustness,episode_long,8,49,700,651,True,False,fallback,49.0,651.0
robustness_episode_long,robustness,episode_long,9,50,700,650,True,False,fallback,50.0,650.0
robustness_episode_long,robustness,episode_long,10,53,700,647,True,False,fallback,53.0,647.0
robustness_episode_long,robustness,episode_long,11,59,700,641,True,False,fallback,59.0,641.0
robustness_episode_long,robustness,episode_long,12,58,700,642,True,False,fallback,58.0,642.0
robustness_episode_long,robustness,episode_long,13,59,700,641,True,False,fallback,59.0,641.0
robustness_episode_long,robustness,episode_long,14,47,700,653,True,False,fallback,47.0,653.0
robustness_episode_short,robustness,episode_short,0,57,700,643,True,False,fallback,57.0,643.0
robustness_episode_short,robustness,episode_short,1,88,700,612,True,False,fallback,88.0,612.0
robustness_episode_short,robustness,episode_short,2,79,700,621,True,False,fallback,79.0,621.0
robustness_episode_short,robustness,episode_short,3,48,700,652,True,False,fallback,48.0,652.0
robustness_episode_short,robustness,episode_short,4,44,700,656,True,False,fallback,44.0,656.0
robustness_episode_short,robustness,episode_short,5,55,700,645,True,False,fallback,55.0,645.0
robustness_episode_short,robustness,episode_short,6,48,700,652,True,False,fallback,48.0,652.0
robustness_episode_short,robustness,episode_short,7,63,700,637,True,False,fallback,63.0,637.0
robustness_episode_short,robustness,episode_short,8,44,700,656,True,False,fallback,44.0,656.0
robustness_episode_short,robustness,episode_short,9,46,700,654,True,False,fallback,46.0,654.0
robustness_episode_short,robustness,episode_short,10,52,700,648,True,False,fallback,52.0,648.0
robustness_episode_short,robustness,episode_short,11,54,700,646,True,False,fallback,54.0,646.0
robustness_episode_short,robustness,episode_short,12,59,700,641,True,False,fallback,59.0,641.0
robustness_episode_short,robustness,episode_short,13,57,700,643,True,False,fallback,57.0,643.0
robustness_episode_short,robustness,episode_short,14,47,700,653,True,False,fallback,47.0,653.0
robustness_feedback_high,robustness,feedback_high,0,50,700,650,True,False,fallback,50.0,650.0
robustness_feedback_high,robustness,feedback_high,1,70,700,630,True,False,fallback,70.0,630.0
robustness_feedback_high,robustness,feedback_high,2,63,700,637,True,False,fallback,63.0,637.0
robustness_feedback_high,robustness,feedback_high,3,44,700,656,True,False,fallback,44.0,656.0
robustness_feedback_high,robustness,feedback_high,4,42,700,658,True,False,fallback,42.0,658.0
robustness_feedback_high,robustness,feedback_high,5,54,700,646,True,False,fallback,54.0,646.0
robustness_feedback_high,robustness,feedback_high,6,45,700,655,True,False,fallback,45.0,655.0
robustness_feedback_high,robustness,feedback_high,7,52,700,648,True,False,fallback,52.0,648.0
robustness_feedback_high,robustness,feedback_high,8,44,700,656,True,False,fallback,44.0,656.0
robustness_feedback_high,robustness,feedback_high,9,47,700,653,True,False,fallback,47.0,653.0
robustness_feedback_high,robustness,feedback_high,10,46,700,654,True,False,fallback,46.0,654.0
robustness_feedback_high,robustness,feedback_high,11,51,700,649,True,False,fallback,51.0,649.0
robustness_feedback_high,robustness,feedback_high,12,53,700,647,True,False,fallback,53.0,647.0
robustness_feedback_high,robustness,feedback_high,13,57,700,643,True,False,fallback,57.0,643.0
robustness_feedback_high,robustness,feedback_high,14,43,700,657,True,False,fallback,43.0,657.0
robustness_feedback_low,robustness,feedback_low,0,82,700,618,True,False,fallback,82.0,618.0
robustness_feedback_low,robustness,feedback_low,1,104,700,596,True,False,fallback,104.0,596.0
robustness_feedback_low,robustness,feedback_low,2,93,700,607,True,False,fallback,93.0,607.0
robustness_feedback_low,robustness,feedback_low,3,66,700,634,True,False,fallback,66.0,634.0
robustness_feedback_low,robustness,feedback_low,4,62,700,638,True,False,fallback,62.0,638.0
robustness_feedback_low,robustness,feedback_low,5,79,700,621,True,False,fallback,79.0,621.0
robustness_feedback_low,robustness,feedback_low,6,67,700,633,True,False,fallback,67.0,633.0
robustness_feedback_low,robustness,feedback_low,7,87,700,613,True,False,fallback,87.0,613.0
robustness_feedback_low,robustness,feedback_low,8,62,700,638,True,False,fallback,62.0,638.0
robustness_feedback_low,robustness,feedback_low,9,68,700,632,True,False,fallback,68.0,632.0
robustness_feedback_low,robustness,feedback_low,10,76,700,624,True,False,fallback,76.0,624.0
robustness_feedback_low,robustness,feedback_low,11,80,700,620,True,False,fallback,80.0,620.0
robustness_feedback_low,robustness,feedback_low,12,82,700,618,True,False,fallback,82.0,618.0
robustness_feedback_low,robustness,feedback_low,13,78,700,622,True,False,fallback,78.0,622.0
robustness_feedback_low,robustness,feedback_low,14,66,700,634,True,False,fallback,66.0,634.0
robustness_high_control_penalty,robustness,high_control_penalty,0,56,700,644,True,False,fallback,56.0,644.0
robustness_high_control_penalty,robustness,high_control_penalty,1,82,700,618,True,False,fallback,82.0,618.0
robustness_high_control_penalty,robustness,high_control_penalty,2,74,700,626,True,False,fallback,74.0,626.0
robustness_high_control_penalty,robustness,high_control_penalty,3,49,700,651,True,False,fallback,49.0,651.0
robustness_high_control_penalty,robustness,high_control_penalty,4,47,700,653,True,False,fallback,47.0,653.0
robustness_high_control_penalty,robustness,high_control_penalty,5,53,700,647,True,False,fallback,53.0,647.0
robustness_high_control_penalty,robustness,high_control_penalty,6,51,700,649,True,False,fallback,51.0,649.0
robustness_high_control_penalty,robustness,high_control_penalty,7,58,700,642,True,False,fallback,58.0,642.0
robustness_high_control_penalty,robustness,high_control_penalty,8,47,700,653,True,False,fallback,47.0,653.0
robustness_high_control_penalty,robustness,high_control_penalty,9,47,700,653,True,False,fallback,47.0,653.0
robustness_high_control_penalty,robustness,high_control_penalty,10,54,700,646,True,False,fallback,54.0,646.0
robustness_high_control_penalty,robustness,high_control_penalty,11,58,700,642,True,False,fallback,58.0,642.0
robustness_high_control_penalty,robustness,high_control_penalty,12,59,700,641,True,False,fallback,59.0,641.0
robustness_high_control_penalty,robustness,high_control_penalty,13,59,700,641,True,False,fallback,59.0,641.0
robustness_high_control_penalty,robustness,high_control_penalty,14,49,700,651,True,False,fallback,49.0,651.0
robustness_init_strong,robustness,init_strong,0,46,700,654,True,False,fallback,46.0,654.0
robustness_init_strong,robustness,init_strong,1,64,700,636,True,False,fallback,64.0,636.0
robustness_init_strong,robustness,init_strong,2,62,700,638,True,False,fallback,62.0,638.0
robustness_init_strong,robustness,init_strong,3,36,700,664,True,False,fallback,36.0,664.0
robustness_init_strong,robustness,init_strong,4,39,700,661,True,False,fallback,39.0,661.0
robustness_init_strong,robustness,init_strong,5,41,700,659,True,False,fallback,41.0,659.0
robustness_init_strong,robustness,init_strong,6,40,700,660,True,False,fallback,40.0,660.0
robustness_init_strong,robustness,init_strong,7,44,700,656,True,False,fallback,44.0,656.0
robustness_init_strong,robustness,init_strong,8,34,700,666,True,False,fallback,34.0,666.0
robustness_init_strong,robustness,init_strong,9,35,700,665,True,False,fallback,35.0,665.0
robustness_init_strong,robustness,init_strong,10,37,700,663,True,False,fallback,37.0,663.0
robustness_init_strong,robustness,init_strong,11,43,700,657,True,False,fallback,43.0,657.0
robustness_init_strong,robustness,init_strong,12,44,700,656,True,False,fallback,44.0,656.0
robustness_init_strong,robustness,init_strong,13,45,700,655,True,False,fallback,45.0,655.0
robustness_init_strong,robustness,init_strong,14,36,700,664,True,False,fallback,36.0,664.0
robustness_init_weak,robustness,init_weak,0,58,700,642,True,False,fallback,58.0,642.0
robustness_init_weak,robustness,init_weak,1,82,700,618,True,False,fallback,82.0,618.0
robustness_init_weak,robustness,init_weak,2,72,700,628,True,False,fallback,72.0,628.0
robustness_init_weak,robustness,init_weak,3,52,700,648,True,False,fallback,52.0,648.0
robustness_init_weak,robustness,init_weak,4,49,700,651,True,False,fallback,49.0,651.0
robustness_init_weak,robustness,init_weak,5,54,700,646,True,False,fallback,54.0,646.0
robustness_init_weak,robustness,init_weak,6,52,700,648,True,False,fallback,52.0,648.0
robustness_init_weak,robustness,init_weak,7,59,700,641,True,False,fallback,59.0,641.0
robustness_init_weak,robustness,init_weak,8,48,700,652,True,False,fallback,48.0,652.0
robustness_init_weak,robustness,init_weak,9,48,700,652,True,False,fallback,48.0,652.0
robustness_init_weak,robustness,init_weak,10,57,700,643,True,False,fallback,57.0,643.0
robustness_init_weak,robustness,init_weak,11,53,700,647,True,False,fallback,53.0,647.0
robustness_init_weak,robustness,init_weak,12,66,700,634,True,False,fallback,66.0,634.0
robustness_init_weak,robustness,init_weak,13,60,700,640,True,False,fallback,60.0,640.0
robustness_init_weak,robustness,init_weak,14,52,700,648,True,False,fallback,52.0,648.0
robustness_lr_high,robustness,lr_high,0,48,700,652,True,False,fallback,48.0,652.0
robustness_lr_high,robustness,lr_high,1,46,700,654,True,False,fallback,46.0,654.0
robustness_lr_high,robustness,lr_high,2,50,700,650,True,False,fallback,50.0,650.0
robustness_lr_high,robustness,lr_high,3,38,700,662,True,False,fallback,38.0,662.0
robustness_lr_high,robustness,lr_high,4,39,700,661,True,False,fallback,39.0,661.0
robustness_lr_high,robustness,lr_high,5,44,700,656,True,False,fallback,44.0,656.0
robustness_lr_high,robustness,lr_high,6,44,700,656,True,False,fallback,44.0,656.0
robustness_lr_high,robustness,lr_high,7,47,700,653,True,False,fallback,47.0,653.0
robustness_lr_high,robustness,lr_high,8,41,700,659,True,False,fallback,41.0,659.0
robustness_lr_high,robustness,lr_high,9,40,700,660,True,False,fallback,40.0,660.0
robustness_lr_high,robustness,lr_high,10,41,700,659,True,False,fallback,41.0,659.0
robustness_lr_high,robustness,lr_high,11,44,700,656,True,False,fallback,44.0,656.0
robustness_lr_high,robustness,lr_high,12,48,700,652,True,False,fallback,48.0,652.0
robustness_lr_high,robustness,lr_high,13,45,700,655,True,False,fallback,45.0,655.0
robustness_lr_high,robustness,lr_high,14,40,700,660,True,False,fallback,40.0,660.0
robustness_lr_low,robustness,lr_low,0,133,700,567,True,False,fallback,133.0,567.0
robustness_lr_low,robustness,lr_low,1,206,700,494,True,False,fallback,206.0,494.0
robustness_lr_low,robustness,lr_low,2,35,45,10,True,True,slope,81.0,-36.0
robustness_lr_low,robustness,lr_low,3,107,700,593,True,False,fallback,107.0,593.0
robustness_lr_low,robustness,lr_low,4,104,700,596,True,False,fallback,104.0,596.0
robustness_lr_low,robustness,lr_low,5,126,700,574,True,False,fallback,126.0,574.0
robustness_lr_low,robustness,lr_low,6,111,700,589,True,False,fallback,111.0,589.0
robustness_lr_low,robustness,lr_low,7,137,700,563,True,False,fallback,137.0,563.0
robustness_lr_low,robustness,lr_low,8,103,700,597,True,False,fallback,103.0,597.0
robustness_lr_low,robustness,lr_low,9,102,700,598,True,False,fallback,102.0,598.0
robustness_lr_low,robustness,lr_low,10,118,700,582,True,False,fallback,118.0,582.0
robustness_lr_low,robustness,lr_low,11,131,700,569,True,False,fallback,131.0,569.0
robustness_lr_low,robustness,lr_low,12,142,700,558,True,False,fallback,142.0,558.0
robustness_lr_low,robustness,lr_low,13,137,700,563,True,False,fallback,137.0,563.0
robustness_lr_low,robustness,lr_low,14,110,700,590,True,False,fallback,110.0,590.0
robustness_no_clip,robustness,no_clip,0,0,1000,1000,False,False,nonfinite_loss,,
robustness_no_clip,robustness,no_clip,1,0,1000,1000,False,False,nonfinite_loss,,
robustness_no_clip,robustness,no_clip,2,0,1000,1000,False,False,nonfinite_loss,,
robustness_no_clip,robustness,no_clip,3,0,1000,1000,False,False,nonfinite_loss,,
robustness_no_clip,robustness,no_clip,4,0,1000,1000,False,False,nonfinite_loss,,
robustness_no_clip,robustness,no_clip,5,0,1000,1000,False,False,nonfinite_loss,,
robustness_no_clip,robustness,no_clip,6,0,1000,1000,False,False,nonfinite_loss,,
robustness_no_clip,robustness,no_clip,7,0,1000,1000,False,False,nonfinite_loss,,
robustness_no_clip,robustness,no_clip,8,0,1000,1000,False,False,nonfinite_loss,,
robustness_no_clip,robustness,no_clip,9,0,1000,1000,False,False,nonfinite_loss,,
robustness_no_clip,robustness,no_clip,10,0,1000,1000,False,False,nonfinite_loss,,
robustness_no_clip,robustness,no_clip,11,0,1000,1000,False,False,nonfinite_loss,,
robustness_no_clip,robustness,no_clip,12,0,1000,1000,False,False,nonfinite_loss,,
robustness_no_clip,robustness,no_clip,13,0,1000,1000,False,False,nonfinite_loss,,
robustness_no_clip,robustness,no_clip,14,0,1000,1000,False,False,nonfinite_loss,,
robustness_obs_noise,robustness,obs_noise,0,56,700,644,True,False,fallback,56.0,644.0
robustness_obs_noise,robustness,obs_noise,1,82,700,618,True,False,fallback,82.0,618.0
robustness_obs_noise,robustness,obs_noise,2,77,700,623,True,False,fallback,77.0,623.0
robustness_obs_noise,robustness,obs_noise,3,48,700,652,True,False,fallback,48.0,652.0
robustness_obs_noise,robustness,obs_noise,4,47,700,653,True,False,fallback,47.0,653.0
robustness_obs_noise,robustness,obs_noise,5,53,700,647,True,False,fallback,53.0,647.0
robustness_obs_noise,robustness,obs_noise,6,51,700,649,True,False,fallback,51.0,649.0
robustness_obs_noise,robustness,obs_noise,7,58,700,642,True,False,fallback,58.0,642.0
robustness_obs_noise,robustness,obs_noise,8,45,700,655,True,False,fallback,45.0,655.0
robustness_obs_noise,robustness,obs_noise,9,46,700,654,True,False,fallback,46.0,654.0
robustness_obs_noise,robustness,obs_noise,10,53,700,647,True,False,fallback,53.0,647.0
robustness_obs_noise,robustness,obs_noise,11,59,700,641,True,False,fallback,59.0,641.0
robustness_obs_noise,robustness,obs_noise,12,60,700,640,True,False,fallback,60.0,640.0
robustness_obs_noise,robustness,obs_noise,13,58,700,642,True,False,fallback,58.0,642.0
robustness_obs_noise,robustness,obs_noise,14,48,700,652,True,False,fallback,48.0,652.0
robustness_original,robustness,original,0,56,700,644,True,False,fallback,56.0,644.0
